"subj_idx","response","rt","stim","block","block_number","trial_z","rt_inv_trim_grp","run_trial","run_trial_z","prev_rt","prev_rt_inv","stimblock"
77,1,477,"incongruent","most_con",1,-1.07169719663334,-2.09643605870021,31,0.898168868906717,0.343,-2.91545189504373,"incongruent_most_con"
77,1,499,"congruent","most_con",1,-1.0500467482165,-2.00400801603206,32,0.983708761183547,0.477,-2.09643605870021,"congruent"
77,1,361,"congruent","most_con",1,-1.02839629979967,-2.77008310249307,33,1.06924865346038,0.499,-2.00400801603206,"congruent"
77,1,351,"congruent","most_con",1,-1.00674585138283,-2.84900284900285,34,1.15478854573721,0.361,-2.77008310249307,"congruent"
77,1,333,"congruent","most_con",1,-0.985095402965998,-3.003003003003,35,1.24032843801404,0.351,-2.84900284900285,"congruent"
77,1,411,"congruent","most_con",1,-0.963444954549162,-2.4330900243309,36,1.32586833029087,0.333,-3.003003003003,"congruent"
77,1,353,"congruent","most_con",1,-0.941794506132327,-2.8328611898017,37,1.4114082225677,0.411,-2.4330900243309,"congruent"
77,1,462,"incongruent","most_con",1,-0.920144057715492,-2.16450216450216,38,1.49694811484453,0.353,-2.8328611898017,"incongruent_most_con"
77,1,332,"congruent","most_con",1,-0.898493609298657,-3.01204819277108,39,1.58248800712136,0.462,-2.16450216450216,"congruent"
77,1,411,"incongruent","most_con",1,-0.876843160881822,-2.4330900243309,40,1.66802789939819,0.332,-3.01204819277108,"incongruent_most_con"
77,1,289,"congruent","most_incon",2,-0.855192712464987,-3.46020761245675,1,-1.66802789939819,NA,NA,"congruent"
77,1,286,"congruent","most_incon",2,-0.833542264048152,-3.4965034965035,2,-1.58248800712136,0.289,-3.46020761245675,"congruent"
77,1,284,"congruent","most_incon",2,-0.811891815631317,-3.52112676056338,3,-1.49694811484453,0.286,-3.4965034965035,"congruent"
77,1,282,"incongruent","most_incon",2,-0.790241367214482,-3.54609929078014,4,-1.4114082225677,0.284,-3.52112676056338,"incongruent_most_incon"
77,1,280,"incongruent","most_incon",2,-0.768590918797647,-3.57142857142857,5,-1.32586833029087,0.282,-3.54609929078014,"incongruent_most_incon"
