"subj_idx","response","rt","stim","block","block_number","trial_z","trial","rt_inv_trim_grp","run_trial","run_trial_z","prev_rt","prev_rt_inv","stimblock"
16,1,404,"incongruent","most_incon",2,-0.660338676713471,50,-2.47524752475248,10,-0.898168868906717,0.366,-2.73224043715847,"incongruent_most_incon"
16,1,386,"incongruent","most_incon",2,-0.638688228296636,51,-2.59067357512953,11,-0.812628976629887,0.404,-2.47524752475248,"incongruent_most_incon"
16,1,391,"incongruent","most_incon",2,-0.617037779879801,52,-2.55754475703325,12,-0.727089084353056,0.386,-2.59067357512953,"incongruent_most_incon"
16,1,564,"incongruent","most_incon",2,-0.595387331462966,53,-1.77304964539007,13,-0.641549192076226,0.391,-2.55754475703325,"incongruent_most_incon"
16,1,330,"congruent","most_incon",2,-0.57373688304613,54,-3.03030303030303,14,-0.556009299799396,0.564,-1.77304964539007,"congruent"
16,1,320,"incongruent","most_incon",2,-0.552086434629295,55,-3.125,15,-0.470469407522566,0.33,-3.03030303030303,"incongruent_most_incon"
16,NA,NA,"congruent","most_incon",2,-0.53043598621246,56,NA,16,-0.384929515245736,0.32,-3.125,"congruent"
16,1,300,"congruent","most_incon",2,-0.508785537795625,57,-3.33333333333333,17,-0.299389622968906,0.246,-4.0650406504065,"congruent"
16,1,274,"incongruent","most_incon",2,-0.48713508937879,58,-3.64963503649635,18,-0.213849730692075,0.3,-3.33333333333333,"incongruent_most_incon"
16,1,302,"incongruent","most_incon",2,-0.465484640961955,59,-3.3112582781457,19,-0.128309838415245,0.274,-3.64963503649635,"incongruent_most_incon"
16,1,332,"congruent","most_incon",2,-0.44383419254512,60,-3.01204819277108,20,-0.0427699461384151,0.302,-3.3112582781457,"congruent"
16,1,378,"incongruent","most_incon",2,-0.422183744128285,61,-2.64550264550265,21,0.0427699461384151,0.332,-3.01204819277108,"incongruent_most_incon"
16,1,352,"congruent","most_incon",2,-0.40053329571145,62,-2.84090909090909,22,0.128309838415245,0.378,-2.64550264550265,"congruent"
16,1,502,"incongruent","most_incon",2,-0.378882847294614,63,-1.99203187250996,23,0.213849730692075,0.352,-2.84090909090909,"incongruent_most_incon"
16,1,515,"incongruent","most_incon",2,-0.357232398877779,64,-1.94174757281553,24,0.299389622968906,0.502,-1.99203187250996,"incongruent_most_incon"
16,1,377,"incongruent","most_incon",2,-0.335581950460944,65,-2.6525198938992,25,0.384929515245736,0.515,-1.94174757281553,"incongruent_most_incon"
16,1,406,"incongruent","most_incon",2,-0.313931502044109,66,-2.46305418719212,26,0.470469407522566,0.377,-2.6525198938992,"incongruent_most_incon"
16,1,292,"congruent","most_incon",2,-0.292281053627274,67,-3.42465753424658,27,0.556009299799396,0.406,-2.46305418719212,"congruent"
16,1,282,"incongruent","most_incon",2,-0.270630605210439,68,-3.54609929078014,28,0.641549192076226,0.292,-3.42465753424658,"incongruent_most_incon"
16,1,343,"congruent","most_incon",2,-0.248980156793604,69,-2.91545189504373,29,0.727089084353056,0.282,-3.54609929078014,"congruent"
16,1,469,"incongruent","most_incon",2,-0.227329708376769,70,-2.13219616204691,30,0.812628976629887,0.343,-2.91545189504373,"incongruent_most_incon"
16,1,363,"incongruent","most_incon",2,-0.205679259959934,71,-2.75482093663912,31,0.898168868906717,0.469,-2.13219616204691,"incongruent_most_incon"
16,1,449,"incongruent","most_incon",2,-0.184028811543098,72,-2.2271714922049,32,0.983708761183547,0.363,-2.75482093663912,"incongruent_most_incon"
