"subj_idx","response","rt","stim","cond","trial_z","rt_log_trim_grp","prev_rt"
5,1,710,"negative_unfamiliar","no_conflict",0.309256130106529,2.85125834871908,0.767
5,1,821,"positive","no_conflict",0.357362639234211,2.91434315711944,0.71
5,1,676,"positive","no_conflict",0.405469148361894,2.82994669594164,0.821
5,1,963,"negative_rc","conflict",0.453575657489576,2.98362628712453,0.676
5,1,890,"positive","no_conflict",0.501682166617258,2.94939000664491,0.963
5,1,625,"negative_familiar","conflict",0.54978867574494,2.79588001734408,0.89
5,1,504,"negative_unfamiliar","no_conflict",0.597895184872623,2.70243053644553,0.625
5,1,463,"positive","no_conflict",0.646001694000305,2.66558099101795,0.504
5,1,494,"positive","no_conflict",0.694108203127987,2.69372694892365,0.463
5,1,773,"negative_highly_familiar","conflict",0.74221471225567,2.88817949391832,0.494
5,1,588,"negative_familiar","conflict",0.790321221383352,2.76937732607614,0.773
5,1,547,"positive","no_conflict",0.838427730511034,2.73798732633343,0.588
5,0,810,"positive","no_conflict",0.886534239638716,2.90848501887865,0.547
5,1,1138,"negative_rc","conflict",0.934640748766399,3.05614226205905,0.81
5,1,761,"positive","no_conflict",0.982747257894081,2.88138465677057,1.138
5,1,560,"negative_rc","conflict",1.03085376702176,2.7481880270062,0.761
5,1,711,"positive","no_conflict",1.07896027614945,2.85186960072977,0.56
5,1,598,"negative_highly_familiar","conflict",1.12706678527713,2.77670118398841,0.711
5,1,645,"positive","no_conflict",1.17517329440481,2.80955971463527,0.598
5,1,700,"negative_highly_familiar","conflict",1.22327980353249,2.84509804001426,0.645
5,1,795,"negative_familiar","conflict",1.27138631266017,2.90036712865647,0.7
5,1,851,"positive","no_conflict",1.31949282178786,2.92992956008459,0.795
5,1,570,"negative_unfamiliar","no_conflict",1.36759933091554,2.75587485567249,0.851
5,1,609,"positive","no_conflict",1.41570584004322,2.78461729263288,0.57
5,1,552,"negative_rc","conflict",1.4638123491709,2.7419390777292,0.609
5,1,751,"positive","no_conflict",1.51191885829859,2.87563993700417,0.552
