"subj_idx","response","rt","cond","stim","stim_cond","trial_z","trial","rt_log_trim_grp","prev_rt","block_trial"
84,1,0.346,"SevenGo","Go","Go_SevenGo",0.0938184879743363,127,2.53907609879278,0,49
84,1,0.374,"SevenGo","Go","Go_SevenGo",0.10825210150885,128,2.57287160220048,0.346,50
84,1,0.336,"SevenGo","Go","Go_SevenGo",0.122685715043363,129,2.52633927738984,0.374,51
84,1,0.356,"SevenGo","Go","Go_SevenGo",0.137119328577876,130,2.55144999797288,0.336,52
84,1,0.336,"SevenGo","Go","Go_SevenGo",0.151552942112389,131,2.52633927738984,0.356,53
84,1,0.371,"SevenGo","Go","Go_SevenGo",0.165986555646903,132,2.56937390961505,0.336,54
84,1,0.358,"SevenGo","Go","Go_SevenGo",0.180420169181416,133,2.55388302664387,0.371,55
84,1,0,"SevenGo","NoGo","NoGo_SevenGo",0.194853782715929,134,0,0.358,56
84,1,0.389,"FiveGo","Go","Go_FiveGo",0.209287396250442,135,2.58994960132571,0,37
84,1,0.425,"FiveGo","Go","Go_FiveGo",0.223721009784956,136,2.62838893005031,0.389,38
84,1,0.396,"FiveGo","Go","Go_FiveGo",0.238154623319469,137,2.59769518592551,0.425,39
84,1,0.311,"FiveGo","Go","Go_FiveGo",0.252588236853982,138,2.49276038902684,0.396,40
84,1,0.355,"FiveGo","Go","Go_FiveGo",0.267021850388496,139,2.55022835305509,0.311,41
84,1,0,"FiveGo","NoGo","NoGo_FiveGo",0.281455463923009,140,0,0.355,42
84,1,0.362,"SevenGo","Go","Go_SevenGo",0.295889077457522,141,2.55870857053317,0,57
84,1,0.381,"SevenGo","Go","Go_SevenGo",0.310322690992035,142,2.58092497567562,0.362,58
84,1,0.344,"SevenGo","Go","Go_SevenGo",0.324756304526549,143,2.53655844257153,0.381,59
84,1,0.348,"SevenGo","Go","Go_SevenGo",0.339189918061062,144,2.54157924394658,0.344,60
84,1,0.344,"SevenGo","Go","Go_SevenGo",0.353623531595575,145,2.53655844257153,0.348,61
84,1,0.299,"SevenGo","Go","Go_SevenGo",0.368057145130088,146,2.47567118832443,0.344,62
84,1,0.334,"SevenGo","Go","Go_SevenGo",0.382490758664602,147,2.52374646681156,0.299,63
84,1,0,"SevenGo","NoGo","NoGo_SevenGo",0.396924372199115,148,0,0.334,64
84,1,0.342,"ThreeGo","Go","Go_ThreeGo",0.411357985733628,149,2.53402610605613,0,29
84,1,0.344,"ThreeGo","Go","Go_ThreeGo",0.425791599268141,150,2.53655844257153,0.342,30
84,1,0.364,"ThreeGo","Go","Go_ThreeGo",0.440225212802655,151,2.56110138364906,0.344,31
84,1,0,"ThreeGo","NoGo","NoGo_ThreeGo",0.454658826337168,152,0,0.364,32
84,1,0.347,"OneGo","Go","Go_OneGo",0.469092439871681,153,2.54032947479087,0,15
84,1,0,"OneGo","NoGo","NoGo_OneGo",0.483526053406195,154,0,0.347,16
84,1,0.305,"FiveGo","Go","Go_FiveGo",0.497959666940708,155,2.48429983934679,0,43
84,1,0.325,"FiveGo","Go","Go_FiveGo",0.512393280475221,156,2.51188336097887,0.305,44
84,1,0.305,"FiveGo","Go","Go_FiveGo",0.526826894009734,157,2.48429983934679,0.325,45
84,1,0.356,"FiveGo","Go","Go_FiveGo",0.541260507544248,158,2.55144999797288,0.305,46
84,1,0.327,"FiveGo","Go","Go_FiveGo",0.555694121078761,159,2.51454775266029,0.356,47
84,0,0.315,"FiveGo","NoGo","NoGo_FiveGo",0.570127734613274,160,2.4983105537896,0.327,48
84,1,0.45,"SevenGo","Go","Go_SevenGo",0.584561348147787,161,2.65321251377534,0.315,65
84,1,0.334,"SevenGo","Go","Go_SevenGo",0.598994961682301,162,2.52374646681156,0.45,66
84,1,0.37,"SevenGo","Go","Go_SevenGo",0.613428575216814,163,2.56820172406699,0.334,67
84,1,0.325,"SevenGo","Go","Go_SevenGo",0.627862188751327,164,2.51188336097887,0.37,68
84,1,0.344,"SevenGo","Go","Go_SevenGo",0.64229580228584,165,2.53655844257153,0.325,69
84,1,0.308,"SevenGo","Go","Go_SevenGo",0.656729415820354,166,2.48855071650044,0.344,70
84,1,0.335,"SevenGo","Go","Go_SevenGo",0.671163029354867,167,2.52504480703685,0.308,71
84,1,0,"SevenGo","NoGo","NoGo_SevenGo",0.68559664288938,168,0,0.335,72
84,1,0.567,"FiveGo","Go","Go_FiveGo",0.700030256423894,169,2.75358305889291,0,49
84,1,0.321,"FiveGo","Go","Go_FiveGo",0.714463869958407,170,2.50650503240487,0.567,50
84,1,0.285,"FiveGo","Go","Go_FiveGo",0.72889748349292,171,2.45484486000851,0.321,51
84,1,0.297,"FiveGo","Go","Go_FiveGo",0.743331097027433,172,2.47275644931721,0.285,52
84,1,0.3,"FiveGo","Go","Go_FiveGo",0.757764710561947,173,2.47712125471966,0.297,53
84,1,0,"FiveGo","NoGo","NoGo_FiveGo",0.77219832409646,174,0,0.3,54
84,1,0.347,"ThreeGo","Go","Go_ThreeGo",0.786631937630973,175,2.54032947479087,0,33
84,1,0.254,"ThreeGo","Go","Go_ThreeGo",0.801065551165487,176,2.40483371661994,0.347,34
84,1,0.274,"ThreeGo","Go","Go_ThreeGo",0.8154991647,177,2.43775056282039,0.254,35
84,1,0,"ThreeGo","NoGo","NoGo_ThreeGo",0.829932778234513,178,0,0.274,36
84,1,0.368,"OneGo","Go","Go_OneGo",0.844366391769026,179,2.56584781867352,0,17
84,0,0.316,"OneGo","NoGo","NoGo_OneGo",0.85880000530354,180,2.4996870826184,0.368,18
